First Name,Last Name,Account Email,Ad Recommendation
Tresa,Sweely,tresa_sweely@hotmail.com,LS Shirt
Trinidad,Mcrae,trinidad_mcrae@yahoo.com,LS Shirt
Truman,Feichtner,tfeichtner@yahoo.com,Zip up Jacket
Twana,Felger,twana.felger@felger.org,SS Shirt
Ty,Smith,tsmith@aol.com,SS Shirt
Tyra,Shields,tshields@gmail.com,SS Shirt
Valentin,Klimek,vklimek@klimek.org,Zip up Jacket
Valentine,Gillian,valentine_gillian@gmail.com,SS Shirt
Vallie,Mondella,vmondella@mondella.com,Hoodie
Van,Shire,van.shire@shire.com,Hoodie
Venita,Maillard,venita_maillard@gmail.com,Zip up Jacket
Veronika,Inouye,vinouye@aol.com,Hoodie
Vi,Rentfro,vrentfro@cox.net,SS Shirt
Vilma,Berlanga,vberlanga@berlanga.com,Zip up Jacket
Vincent,Meinerding,vincent.meinerding@hotmail.com,LS Shirt
Vincenza,Zepp,vzepp@gmail.com,Hoodie
Viola,Bitsuie,viola@gmail.com,Zip up Jacket
Virgie,Kiel,vkiel@hotmail.com,Hoodie
Virgina,Tegarden,virgina_tegarden@tegarden.com,SS Shirt
Viva,Toelkes,viva.toelkes@gmail.com,Polo Shirt
Weldon,Acuff,wacuff@gmail.com,Hoodie
Whitley,Tomasulo,whitley.tomasulo@aol.com,LS Shirt
Wilda,Giguere,wilda@cox.net,Zip up Jacket
Willard,Kolmetz,willard@hotmail.com,Hoodie
Willodean,Konopacki,willodean_konopacki@konopacki.org,Hoodie
Willow,Kusko,wkusko@yahoo.com,Polo Shirt
Winfred,Brucato,winfred_brucato@hotmail.com,LS Shirt
Wynell,Dorshorst,wynell_dorshorst@dorshorst.org,SS Shirt
Xochitl,Discipio,xdiscipio@gmail.com,SS Shirt
Xuan,Rochin,xuan@gmail.com,LS Shirt
Yoko,Fishburne,yoko@fishburne.com,LS Shirt
Yolando,Luczki,yolando@cox.net,Zip up Jacket
Youlanda,Schemmer,youlanda@aol.com,SS Shirt
Yuki,Whobrey,yuki_whobrey@aol.com,Hoodie
Yvonne,Tjepkema,yvonne.tjepkema@hotmail.com,SS Shirt
Zona,Colla,zona@hotmail.com,Hoodie
